epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9832.72,0.97935,0.5013,0.89786,0.932,0.90369,0.95673,0.70263,0.801,0.41934,0.85763,0.003367,0.003367,0.003367
69,9972.81,0.96919,0.49688,0.89654,0.92855,0.90833,0.95694,0.70308,0.79699,0.41804,0.85709,0.003268,0.003268,0.003268
70,10109.9,0.96958,0.49686,0.89615,0.92852,0.90674,0.95691,0.70449,0.7951,0.41832,0.85692,0.003169,0.003169,0.003169
71,10249.1,0.96767,0.49533,0.89468,0.93298,0.90496,0.95743,0.70547,0.79285,0.41783,0.85618,0.00307,0.00307,0.00307
72,10387.6,0.96279,0.49239,0.8938,0.93238,0.90583,0.9577,0.70694,0.79006,0.41628,0.85534,0.002971,0.002971,0.002971
73,10524.4,0.96357,0.49322,0.89492,0.93462,0.9059,0.9582,0.70783,0.7889,0.41536,0.85492,0.002872,0.002872,0.002872
74,10664.2,0.95627,0.48985,0.89326,0.9348,0.90603,0.95857,0.70924,0.78564,0.41371,0.85441,0.002773,0.002773,0.002773
75,10801.6,0.95435,0.48801,0.89246,0.9325,0.90829,0.95908,0.70975,0.78273,0.41218,0.85376,0.002674,0.002674,0.002674
76,10939.9,0.94864,0.48666,0.89119,0.93302,0.90711,0.95899,0.71087,0.78045,0.41104,0.85329,0.002575,0.002575,0.002575
77,11079.4,0.94616,0.48443,0.88974,0.93511,0.90667,0.95926,0.7116,0.77716,0.40989,0.85274,0.002476,0.002476,0.002476
78,11216.6,0.93796,0.48205,0.88817,0.9339,0.90793,0.95934,0.71304,0.77448,0.40887,0.85212,0.002377,0.002377,0.002377
79,11356.1,0.9377,0.48087,0.88795,0.92787,0.9132,0.95927,0.71451,0.77078,0.40726,0.85151,0.002278,0.002278,0.002278
80,11494.3,0.9299,0.4787,0.88727,0.93168,0.91039,0.95948,0.71569,0.76934,0.40644,0.85116,0.002179,0.002179,0.002179
81,11631.7,0.92914,0.47822,0.88528,0.93155,0.9111,0.95975,0.71671,0.76772,0.40542,0.85071,0.00208,0.00208,0.00208
82,11770.9,0.93331,0.47954,0.88842,0.93519,0.90777,0.95984,0.71788,0.76628,0.40468,0.8504,0.001981,0.001981,0.001981
83,11907.8,0.92503,0.47597,0.88535,0.93816,0.90522,0.96017,0.71817,0.76362,0.40369,0.84986,0.001882,0.001882,0.001882
84,12046.5,0.92033,0.47335,0.88427,0.9371,0.90623,0.9604,0.71868,0.76181,0.40265,0.8494,0.001783,0.001783,0.001783
85,12185.6,0.9144,0.47158,0.88371,0.93609,0.90796,0.9606,0.71941,0.76013,0.4024,0.849,0.001684,0.001684,0.001684
86,12322.4,0.91171,0.46949,0.88373,0.93685,0.90762,0.96059,0.72012,0.75864,0.40185,0.84875,0.001585,0.001585,0.001585
87,12461,0.90865,0.4677,0.8823,0.93822,0.90708,0.96097,0.72052,0.75708,0.40128,0.84853,0.001486,0.001486,0.001486
88,12599,0.90173,0.46634,0.88136,0.93824,0.90779,0.96089,0.72063,0.75559,0.40055,0.84822,0.001387,0.001387,0.001387
89,12737.1,0.90329,0.46568,0.88147,0.93944,0.90742,0.96108,0.72152,0.75424,0.39983,0.84788,0.001288,0.001288,0.001288
90,12877,0.90115,0.46535,0.88068,0.9403,0.90718,0.96122,0.72235,0.75271,0.39903,0.84758,0.001189,0.001189,0.001189
91,13013.7,0.8594,0.44462,0.87563,0.94079,0.90704,0.96129,0.72292,0.75258,0.39876,0.8474,0.00109,0.00109,0.00109
92,13144.7,0.8401,0.43835,0.87298,0.94044,0.9077,0.96126,0.72353,0.75131,0.39798,0.84712,0.000991,0.000991,0.000991
93,13274.6,0.83251,0.43518,0.87168,0.93985,0.908,0.96126,0.7242,0.74996,0.39734,0.84683,0.000892,0.000892,0.000892
94,13403.4,0.8255,0.43153,0.86985,0.9391,0.91019,0.96134,0.72502,0.74854,0.39667,0.84652,0.000793,0.000793,0.000793
95,13534.7,0.82082,0.42898,0.8692,0.93894,0.91114,0.96152,0.72563,0.74718,0.39595,0.84625,0.000694,0.000694,0.000694
96,13663.9,0.8164,0.42736,0.86862,0.93862,0.91176,0.96164,0.72637,0.74585,0.39517,0.84597,0.000595,0.000595,0.000595
97,13793.6,0.81274,0.42598,0.86804,0.93879,0.91235,0.96185,0.72692,0.7444,0.39458,0.84574,0.000496,0.000496,0.000496
98,13924.4,0.80445,0.42309,0.8669,0.9387,0.91233,0.962,0.72722,0.74314,0.39386,0.84545,0.000397,0.000397,0.000397
99,14052.8,0.80089,0.42103,0.86495,0.93866,0.91325,0.96215,0.72771,0.74234,0.39339,0.84521,0.000298,0.000298,0.000298
100,14182.7,0.795,0.41903,0.86325,0.93853,0.9138,0.96224,0.72822,0.74144,0.39299,0.84495,0.000199,0.000199,0.000199
